# radius[au]   delta_inclination[rad]   delta_PA[rad]
46.77 0.035392622333929244 0.03440071533517545
51.447 0.0315230784397764 0.043322540401587596
56.124 0.02316453355610279 0.05661230423791484
60.801 0.01282661663968444 0.06855678604331991
65.478 0.004093350528720936 0.07334416325731465
70.155 -0.0032070198979244897 0.07147477024643943
74.832 -0.007734589224551583 0.06510221101760434
79.509 -0.010431320906164802 0.05651993420585359
84.186 -0.01112367601049272 0.04659680933334677
88.863 -0.012062181726724049 0.036787520914654315
93.54 -0.01391135194746275 0.027661228645114867
98.217 -0.017352823144569925 0.017580372259006265
100.0 -0.01923523352872158 0.0138623107232202
102.894 -0.022919393902141535 0.006606633642984564
107.571 -0.029965511864862404 -0.008254299534113696
112.248 -0.036178429744942425 -0.024284130395538877
116.925 -0.040450586170608996 -0.03956683527753696
121.602 -0.04105771473690889 -0.05174654611819654
126.279 -0.040053989464470995 -0.06231887585966968
130.956 -0.03675484806739574 -0.07109793037229666
135.633 -0.031619110018997476 -0.0788898181083986
140.31 -0.024912115763810038 -0.08349111342801506
144.987 -0.017138547884553185 -0.08428224640607447
149.664 -0.008800303636868744 -0.08233927532700068
154.341 -0.000526953578181021 -0.07772781806330717
159.018 0.007176646415646161 -0.07118352971808083
163.695 0.013367417182319357 -0.062017270075469276
168.372 0.01848695574962667 -0.0522324768621891
173.049 0.022018983419936397 -0.042015470682742743
177.726 0.024117684387918864 -0.03257124231287392
182.403 0.025173119825316066 -0.023557626512104198
187.08 0.02579794706695565 -0.016411057611829948
191.757 0.026080516267938645 -0.009076278828652584
196.434 0.025657811033822395 5.391992778537837e-07
201.111 0.02534260924793376 0.01076900129699948
205.788 0.02477379647467845 0.02424237251898598
210.465 0.024031238190409317 0.03940321119005822
215.142 0.02258098249546148 0.05476501431099106
219.819 0.019976412750860865 0.0694369836638915
224.496 0.015564096172991345 0.07963415289805739
229.173 0.010733509749550642 0.0866243995341358
233.85 0.005806409232652264 0.09007891646506476
238.527 0.0012463626653054284 0.08889828675776167
243.204 -0.0057928940408565836 0.08305634901540246
247.881 -0.010700765732099366 0.06571902066028551
252.558 -0.01987885634630296 0.05154873827161904
257.235 -0.0229523906072012 0.024868269930391814
261.912 -0.021030564029051284 0.011320148356044885
266.589 0.0027219910205822356 0.04588632801028692
